name,brewer_id,abv,style_id
Lucky Bucket Pre-Prohibition Lager,10325,4.5,33
Lucky Bucket Mouton Noir,10325,5.0,12
Lucky Bucket Certified Evil 2010,10325,10.0,34
Dead Frog 2 ½ Year Anniversary Ale,712,4.5,35
Dead Frog Fusion Hopped IPA,712,6.5,1
Dead Frog Lager,712,5.0,10
Dead Frog Pepper Lime Lager,712,5.0,36
Dead Frog Chocolate Mint Brown Ale,712,5.0,5
Dead Frog Mandarin Orange Amber Ale,712,5.0,37
Dead Frog Nut Brown Ale,712,0.0,5
Dead Frog Citra IPA,712,6.5,1
Backwoods Maple Wheat,712,4.5,29
überbrü,712,0.0,37
Dead Frog Oaked Nut Brown,712,5.0,5
Dead Frog Pale Ale,712,0.0,38
Dead Frog Christmas Beeracle,712,5.0,17
Dead Frog Honey Brown,712,0.0,37
Dead Frog Toasted Coconut Wit,712,5.0,29
Dead Frog Fusion Hopped Pilsner,712,5.0,39
Dead Frog Sahti,712,0.0,13
Backwoods Winter Warmer,712,7.0,17
Alt Platz Jabo Hefeweizen,7812,4.5,40
Alt Platz Alt Kürbis Pumpkin Ale,7812,16.5,17
Alt Platz Blind Dog Grog Pale Ale,7812,5.5,1
Alt Platz Hefenweasel DoppleWeisse,7812,8.38,40
Alt Platz Mitey-Broo Stark Strong Ale,7812,8.0,15
Alt Platz Victory for Freedom Helles,7812,5.0,20
Alt Platz Sedona Bronze Ale,7812,5.75,37
Alt Platz Automaton +P Märzen,7812,10.0,31
Alt Platz Scourge of Olde Town I.P.A.,7812,5.9,1
Sailor Hagars Hefeweizen,1075,0.0,40
Sailor Hagars Marionberry Weizen,1075,0.0,36
Sailor Hagars Honey Pilsner,1075,4.5,39
Sailor Hagars Oatmeal Stout,1075,0.0,22
Sailor Hagars Lohins ESB,1075,5.4,41
Sailor Hagars Sherpa Smoked Porter,1075,7.5,35
Sailor Hagars Star of India IPA,1075,0.0,1
Sailor Hagars Narwhal Pale Ale,1075,4.1,38
Sailor Hagars Maple Cream,1075,0.0,42
Sailor Hagars Bengal IPA,1075,6.0,1
Sailor Hagars Peak Lager,1075,0.0,10
Sailor Hagars Jewel in the Crown IPA,1075,0.0,1
Sailor Hagars Maibock,1075,0.0,14
Sailor Hagars Wee Heavy,1075,0.0,23
Sailor Hagars Monsoon IPA,1075,0.0,1
Sailor Hagars Clear Cut Lager,1075,5.0,10
Sailor Hagars SSSteam,1075,0.0,43
Sailor Hagars Grizzly Nut Brown,1075,4.3,5
Sailor Hagars Scandinavian Amber Lager,1075,5.6,44
Sailor Hagars Belgian Wit,1075,4.75,8
Sailor Hagars Thors Hammer,1075,12.0,45
Eick Bräu Gievitzer Doppelbock,8802,7.0,46
Eick Bräu Aria,8802,5.0,28
Morino Kikukawa Junmai Ginjo Sake,9002,15.0,47
Willoughby Peace Keeper,10793,3.8,20
Willoughby Trust Gold,10793,3.8,20
Willoughby Tried and Trusted,10793,4.2,16
Siboire Sherloup,9253,5.5,27
Siboire APAisante,9253,5.0,27
Siboire Trip dAutomne IV,9253,7.0,7
Siboire IABA &#40;Imperial American Brown Ale&#41;,9253,8.5,48
Siboire McMaple,9253,7.2,23
Siboire McAmen,9253,7.2,23
Siboire bIPAp,9253,7.7,11
Siboire EPA,9253,0.0,1
Siboire Ange ou Démone,9253,6.5,24
Siboire Gilberator,9253,6.0,49
Siboire Black IPA,9253,0.0,50
Siboire rIPAille,9253,6.5,1
Siboire BleuAle,9253,4.7,36
Siboire IPA,9253,6.5,1
Siboire Oktoberfest,9253,5.3,31
Siboire Quaker Stout,9253,5.0,22
Siboire Nut Brown,9253,0.0,5
Siboire Barley Wine,9253,10.5,45
Siboire Bastaard IPA,9253,6.0,1
Siboire Trip dAutomne III,9253,7.0,7
Siboire Mrs. Pepperpot,9253,4.8,17
Siboire Dépraguée,9253,5.3,2
Siboire InsPirAtion,9253,5.9,1
Siboire Imperial Pilsner,9253,8.0,51
Siboire Ingénieuse,9253,4.3,52
Siboire minIPA,9253,4.2,1
Siboire McEis,9253,10.7,53
Siboire Dunkelweizen,9253,5.6,54
Siboire AAA,9253,5.0,37
Siboire Hop n Cream,9253,5.0,42
Siboire Trip d’Automne V,9253,8.4,7
Siboire Impérial Express,9253,10.0,18
Siboire l’Effeuilleuse,9253,5.3,17
Siboire Calvaire,9253,5.0,38
Siboire Munich,9253,5.0,44
Siboire Moonbee,9253,5.0,20
Siboire Capricieuse,9253,5.0,29
Siboire California Common,9253,5.7,43
Badgers Hill Farm Pippin Cider Dry,163,8.0,55
WestParkBräu 1516 Weissbier,4054,5.4,40
WestParkBräu 1516 Dunkel,4054,5.9,26
WestParkBräu 1516 Hell,4054,4.7,56
WestParkBräu 1516 WeiPi,4054,5.1,40
Schäffler Bräu Allgäu-Radler,3407,2.6,36
Schäffler Bräu Premium Pils,3407,4.9,57
Schäffler Bräu Weisser Bock,3407,6.3,58
Schäffler Bräu Leichte Weisse,3407,3.0,40
Schäffler Bräu Dunkle Weisse,3407,5.4,54
Schäffler Bräu Franz Anton Schäffler Triple,3407,10.5,7
Schäffler Bräu Winterzauber,3407,5.2,31
Schäffler Bräu Oster-Festbier,3407,5.2,31
Schäffler Bräu Premium Gold,3407,5.2,56
Schäffler Bräu Zwickl,3407,4.9,59
Schäffler Bräu Weissbier,3407,5.2,40
Yaegaki Black Bottle Junmai Kuro-Bin Sake,4165,14.5,60
Yaegaki Junmai Yamadanishiki Sake,4165,16.5,60
Yaegaki Nigori Sake,4165,16.0,61
Yaegaki Mu &#40;Nothingness&#41; Junmai Daiginjo Sake,4165,16.5,62
enSante Winery Mellow Gold Mead,11715,10.5,63
Oakwood Farm Green Horse/Oldfield Perry,10952,6.0,64
Oakwood Farm Organic Perry,10952,6.5,64
Oakwood Farm English Organic Cider,10952,6.0,55
Oakwood Farm Organic Discovery Cider,10952,7.8,55
Brothers Honey Brewed Amber Ale,1448,0.0,37
Brothers Classic Gold,1448,0.0,20
Kotayk Moskovyan,2495,4.2,10
Kotayk Cani,2495,5.2,10
Erebuni,2495,6.4,51
Kotayk Lager,2495,5.2,33
Kotayk Gold,2495,5.6,10
Kotayk Dark,2495,6.2,26
Andorfer Weizen,3324,4.8,40
Andorfer Helles Zwickl,3324,4.6,59
Andorfer Weizen Bock,3324,6.8,58
Andorfer Weihnachtsbock &#40;Weizendoppelbock&#41;,3324,7.7,58
Andorfer Weizen Leicht,3324,3.2,40
Hermanns Dunkler Druide Hefe-Weizen,577,5.3,54
Hirschbrauerei Ergenzingen Hirsch Weisse Hefe-Dunkel,577,5.2,54
Wernecker Radler,577,2.5,36
Wernecker Bayerisch Landbier Hell,577,4.6,56
Wernecker Laurentius Unfiltriertes Kellerbier,577,5.5,59
Hirschbrauerei Ergenzingen Hell Export Spezialbier,577,5.2,56
Wernecker Haustrunk Pils,577,4.8,39
Hirschbrauerei Ergenzingen Hirschle Bock,577,6.8,14
Hirschbrauerei Ergenzingen Hirsch Weisse Hefe Hell,577,5.2,40
Wernecker Hefe Weisse,577,5.3,40
Wernecker Weihnachtsbier,577,5.5,31
Wernecker Fränkischer LandBock,577,7.8,46
Wernecker Hefe Dunkel,577,5.2,54
Hirschbrauerei Ergenzingen Hirschle Pils,577,4.7,57
Hermanns Cherusker König Landbier,577,4.6,59
Wernecker Basta Blond,577,4.7,17
Wernecker Fränkischer Hopfen-Fluch,577,8.1,1
Wernecker Basta Green,577,2.5,36
Wernecker Pils Premium,577,4.9,57
Wernecker Bayerisch Dunkel,577,4.9,26
Hirschbrauerei Ergenzingen Weihnachtsbier Märzen-Exportbier,577,5.6,31
Hirschbrauerei Ergenzingen Dunkel Export Spezialbier,577,5.2,26
Wernecker Bayerisch Hell,577,4.6,56
Fränkisches Gold Stück,577,5.0,57
Wernecker Bayerisch Landbier Dunkel,577,4.9,26
Seven Sisters Hard Pear Cider,2461,4.5,64
Seven Sisters Hard Apple Cider,2461,4.5,55
Coalition Mr. Pigs Pale Ale,12062,5.0,27
Coalition Wu Cream Ale,12062,4.8,42
Coalition Wheat The People,12062,4.4,29
Coalition King Kitty Red,12062,5.74,37
Coalition Hanso Vs. Bulleit,12062,6.4,22
Coalition Loving Cup Maple Porter,12062,5.48,15
Coalition Bump’s Bitter ESB,12062,5.5,41
Coalition Liquid Sterling Fresh Hop Common,12062,5.0,27
Coalition Hanso Stout,12062,6.8,22
Coalition The Green Pig Fresh Hop Pale,12062,5.2,27
Coalition Two Dogs IPA,12062,6.1,1
Vista d’Oro Homestead Estate Cider,12617,7.0,55
Killerton Estate Cider,7294,6.0,55
Spreewalder Pils,3423,0.0,39
Spreewalder Weizen,3423,0.0,40
Spreewalder Zwickel,3423,0.0,59
Spreewalder Bock,3423,0.0,49
Spreewalder Dunkel,3423,0.0,26
Spreewalder Märzen,3423,0.0,31
Spreewalder Schwarzbier,3423,0.0,65
Spreewalder Spreelator,3423,7.4,46
Valhalla Porter,8153,5.9,15
Valhalla Red Ale,8153,4.6,37
Canterbury The Prince’s Ale,12428,4.0,20
Canterbury The Miller’s Ale,12428,4.2,16
Canterbury The Wife of Bath’s Ale,12428,3.9,20
Canterbury The Reeve’s Ale,12428,4.1,16
Big River Grille House Brand IPA,2367,5.9,1
Big River Grille Hoppy Brown,2367,0.0,5
Big River Grille C-Hop Pale Ale,2367,5.9,1
Big River Grille Maibock,2367,0.0,14
Big River Grille Holiday Porter,2367,0.0,15
Big River Grille Scottish Ale,2367,0.0,21
Big River Grille Sweet Magnolia American Brown Ale,2367,5.18,5
Big River Grille 16th Avenue Pilsner,2367,0.0,39
Big River Grille Spiced Pumpkin Ale,2367,0.0,17
Big River Grille Seven States Pilsener,2367,4.95,39
Big River Grille Firecracker Ale,2367,0.0,5
Big River Grille Wild Mild,2367,0.0,9
Big River Grille Winters Nip Winter Porter,2367,0.0,15
Big River Grille Black Cherry Porter,2367,0.0,15
Big River Grille Wowzers Summer Wheat,2367,4.0,29
Big River Grille Rocket Red Ale,2367,4.7,37
Big River Grille Imperial 375 Pale Ale,2367,5.5,27
Big River Grille Toasted Oat Pale Ale,2367,0.0,38
Big River Grille Espresso Stout,2367,4.2,4
Big River Grille Lemon Lager,2367,0.0,36
Big River Grille Irish Red Ale,2367,0.0,52
Big River Grille Oktoberfest,2367,0.0,31
Big River Grille Vienna Lager,2367,5.23,44
Big River Grille California Common,2367,5.2,43
Big River Grille Iron Horse Stout,2367,5.6,22
Big River Grille Winters Nip Winter Bock,2367,0.0,49
Big River Grille Irish Red Lager,2367,0.0,44
Big River Grille Southern Flyer Light Lager,2367,3.61,10
Staffelberg-Bräu Doppel-Bock,1970,7.0,46
Staffelberg-Bräu Heller Bock,1970,6.5,14
Staffelberg-Bräu Loffelder Dunkel,1970,5.0,26
Wernsdörfer Landbier,1970,5.0,59
Staffelberg-Bräu Festbier,1970,5.5,31
Staffelberg-Bräu Loffelder Alkoholfrei,1970,0.0,66
Staffelberg-Bräu Hefe-Weissbier,1970,5.2,40
Staffelberg-Bräu Antonius Bock,1970,8.0,58
Staffelberg-Bräu Hopfen-Gold Pils,1970,4.9,39
Staffelberg-Bräu Hefe-Weizen Alkoholfrei,1970,0.0,66
Staffelberg-Bräu Landbier Hell,1970,5.0,56
Staffelberg-Bräu Sommer-Bier,1970,5.0,59
Staffelberg-Bräu Märzen,1970,5.5,31
Silverton Presidential Porter,6040,6.8,15
Silverton Imogene Pass Ale,6040,6.8,1
Silverton Red Mountain Ale,6040,6.5,52
Silverton Gold Mine Lager,6040,0.0,56
Silverton Ice Pick Ale,6040,6.8,1
Silverton Pale Ale,6040,5.0,27
Silverton Bear Ass Brown,6040,4.0,5
Silverton Barely Legal Barley Wine,6040,12.0,45
Silverton Coal Bank Stout,6040,9.8,18
Silverton Snow Melt Sour,6040,5.2,67
Silverton Mine Tailings Marzen,6040,0.0,31
Silverton Mountain Honey Pale Ale,6040,6.9,27
Silverton Ladder Truck Lager,6040,4.5,44
Ziegler-Bräu Zieglers 1847,8020,5.0,59
Het Klaverblad Klaver Weizen,8020,5.0,40
Het Klaverblad Klaver Dort,8020,5.5,56
Het Klaverblad Klaver Donker,8020,5.5,26
Ziegler-Bräu Böhms Böhmisches Pils,8020,5.0,2
Ziegler-Bräu Kappl Weisse,8020,5.1,40
Phoenix Amersfoort Bok,8020,6.5,49
Chebské Hradní Sv&#283;tlý Ležák 12°,8020,5.2,2
Ziegler-Bräu Pils,8020,5.0,57
Ziegler-Bräu Hell,8020,4.9,56
Ziegler-Bräu  Waldsassener Stifts Trunk,8020,5.5,26
Ziegler-Bräu Export,8020,5.4,56
Ziegler-Bräu Edel-Dinkel Naturtrüb,8020,5.0,68
Ziegler-Bräu Böhms Böhmisches Dunkel,8020,5.0,26
Ziegler Bräu Stifts-Urtrunk,8020,0.0,59
Het Klaverblad Phoenix Bokbier,8020,7.0,46
Phoenix Amersfoort Lentebok,8020,7.2,14
Chebské Hradní Sv&#283;tlý Ležák 11°,8020,4.7,2
Ziegler-Bräu Heller Bock,8020,7.5,14
Het Klaverblad Phoenix Amersfoort Export 70-07,8020,5.5,56
Gotlandsdricke,1585,9.0,13
O’Malley’s Kilkenny Export Ale,5294,4.8,41
O’Malley’s Gold Sheaf,5294,4.0,10
O’Malley’s Tullaroan Supreme,5294,4.5,41
Adam Ravbar Kvasno Meš Pivo,2978,4.5,26
Sokol Svetlo Pivo,2978,4.5,59
Adam Ravbar Kvasno Svetlo Pivo,2978,4.5,2
Adam Ravbar Kvasno Temno Pivo,2978,4.5,65
Félibre Pommé,5240,10.0,55
Félibre Fruit Défendu,5240,10.0,55
Hilsenbecks Keltengold,5330,5.1,56
Gruibingener Weihnachtsbier,5330,5.3,31
Hilsenbecks Brunnenbier,5330,5.1,59
Hilsenbecks Gruibinger Sommerbier,5330,4.9,39
Gruibingener Meister-Bock,5330,7.0,49
Weilimdorfer Winterbier,5330,5.1,33
Hilsenbecks Stiefel Pils,5330,4.8,57
Hilsenbecks Dorfbräu Export,5330,5.1,56
Quigleys Swamp Fox IPA,9812,0.0,1
Quigleys Nut Brown Ale,9812,0.0,5
Quigleys Neck Red Ale,9812,0.0,41
Quigleys Irish Stout,9812,0.0,22
Quigleys Longboard Lager,9812,0.0,33
Quigleys White Ale,9812,0.0,8
Quigleys Hefeweizen,9812,0.0,40
Hebridean Clansman,3489,3.9,16
Hebridean Pagan Dark,3489,4.8,16
Hebridean An Gael Ur,3489,5.0,16
Hebridean Moo-Coo Brew,3489,4.4,16
Hebridean Island Mist,3489,4.3,16
Hebridean Celtic Black Ale,3489,3.9,15
Hebridean Berserker,3489,7.5,70
Hebridean Fagan,3489,4.8,16
Hebridean Seaforth Ale,3489,4.2,20
Hebridean Islander,3489,4.8,41
Mont des Cats,12,7.6,6
Chimay Dorée / Refterbier,12,4.8,6
Port Dock Old Preacher,2524,0.0,70
Port Dock Ginja,2524,3.0,17
Port Dock Hop Field Premium Lager,2524,0.0,10
Port Dock Ale,2524,4.5,20
Port Dock PowerZ,2524,0.0,39
Port Dock Black Diamond Bitter,2524,5.0,16
Port Dock Black Bart Milk Stout,2524,5.8,4
Salzscheuer Dunkler Dieter,10912,5.1,65
Clément Larivière La Ruée vers lOr,9158,11.5,55
Cl&#233;ment Larivi&#232;re Bonhomme Hiver,9158,12.5,69
Pints Pub Alchemy ESB,3087,0.0,41
Pints Pub Phonebox Amber,3087,0.0,37
Pints Pub Bitchcraft Blonde Ale,3087,0.0,20
Pints Pub Lancer India Pale Ale,3087,0.0,1
Pints Pub Gael Force Ale,3087,0.0,21
Pints Pub Dark Star Ale,3087,0.0,5
Pints Pub Black Ajax Stout,3087,0.0,71
Pints Pub John Bull Brown,3087,0.0,5
Pints Pub Airedale Pale Ale,3087,0.0,38
Pints Pub Czechmate Pilsner,3087,0.0,2
Pints Pub Idyll Weiss,3087,0.0,40
Dewazakura Ouka Ginjoshu Yamadanishiki Sake,4438,16.5,47
Dewazakura &#40;Green Ridge&#41; Daiginjo Sake,4438,16.7,62
Dewazakura &#40;Green Ridge&#41; Izumi Judan Ginjo Sake,4438,17.5,47
Dewazakura &#40;Green Ridge&#41; Junmai Daiginjo Sake,4438,15.0,62
Dewazakura &#40;Green Ridge&#41; Dewasansan Tobiroku Tokubetsu Sparkling Sake,4438,15.5,61
Dewazakura &#40;Green Ridge&#41; Ginjo Sake,4438,15.5,47
Dewazakura &#40;Green Ridge&#41; Junmai Ikkou Sake,4438,15.5,60
Fenton American Amber Ale,11796,5.25,37
Fenton Brewery Unbridled IPA,11796,6.3,1
Fenton Nut Brown Ale,11796,7.35,5
Battlefield Khe Sahn Marzen,11011,5.5,31
Battlefield Chosin Reservoir Pilsener,11011,5.3,39
Battlefield Belleau Wood,11011,5.3,6
Battlefield Iwo Jima Red Ale,11011,6.4,52
Battlefield Cold Harbor Winter Porter,11011,6.6,15
Battlefield Spotsylvania Scottish 70,11011,4.0,21
Battlefield Oktoberfest,11011,5.6,31
Battlefield Wilderness Wheat,11011,0.0,29
Battlefield Coral Sea Kolsch,11011,5.0,3
Battlefield Chancellor Pale Ale,11011,5.5,27
Flock Inn Bois Baaach,8440,3.8,16
Flock Inn Ewe-Phoria,8440,4.2,16
Flock Inn Shear Delight,8440,4.2,16
Kannah Creek Standing Wave Pale Ale,7314,5.2,27
Kannah Creek Island Mesa Blonde,7314,4.2,20
"Chimay Blue, Grand Reserve",12,9.0,19
"Chimay Triple, Blanche, Cinq Cents",12,8.0,7
"Chimay Rouge, Red Premiere",12,7.0,24
Kannah Creek Buxom Brown,7314,0.0,5
Kannah Creek Lands End Amber,7314,4.7,37
Kannah Creek Stumplifter Barley Wine,7314,10.0,45
Kannah Creek Highside Hefeweizen,7314,4.7,40
Kannah Creek Chill Pils,7314,0.0,39
Kannah Creek Blacks Bridge Stout,7314,5.7,4
Kannah Creek Monument Irish Red,7314,0.0,52
Kannah Creek Pigasus Porter,7314,4.2,15
Kannah Creek River City Pilsner,7314,0.0,57
Kannah Creek Broken Oar IPA,7314,6.0,1
Kannah Creek Three Fjords Amber Lager,7314,0.0,44
North Cotswold Nettle Ale,4364,4.6,16
North Cotswold Hung Drawn ’n’ Portered,4364,5.0,15
North Cotswold Isambard Kingdom Brown Ale,4364,4.0,5
North Cotswold Pig Brook,4364,3.8,16
North Cotswold Summer Solstice,4364,4.5,20
North Cotswold Vanilla Bumble,4364,4.5,20
North Cotswold Stour Stout,4364,5.0,22
North Cotswold Winter Solstice,4364,4.6,41
North Cotswold Ditchford Ale,4364,5.3,41
North Cotswold Spring in Your Step,4364,4.0,20
North Cotswold Monarch IPA,4364,10.0,11
North Cotswold Cotswold Best,4364,4.0,16
North Cotswold Shagweaver,4364,4.5,16
North Cotswold Smoked Maple Porter,4364,5.0,15
North Cotswold Arctic Global Warming,4364,15.0,45
North Cotswold Sorachi,4364,3.8,20
North Cotswold Genesis,4364,4.0,16
North Cotswold Autumn Ale,4364,4.3,16
North Cotswold Sheeptown,4364,4.2,16
North Cotswold Cappachino Stout,4364,5.0,22
North Cotswold Honey Stout,4364,5.0,22
North Cotswold Donkeys Ale,4364,5.0,72
North Cotswold Hop to the Right,4364,4.5,16
North Cotswold Mayfair Mild,4364,4.1,9
North Cotswold Green Pig,4364,3.8,16
North Cotswold Cockles of Your Heart,4364,4.3,16
North Cotswold Blitzen,4364,6.0,70
L’Alsacienne Sans Culotte Brune,1179,7.8,24
Brunehaut Abbaye de Saint-Martin Brune,1179,8.0,24
Brunehaut Bio Blanche,1179,5.0,8
L’Alsacienne Sans Culotte Hembera Lisala &#40;Framboise&#41;,1179,6.5,73
Brunehaut La Douf,1179,8.0,19
Daas Ambré,1179,6.5,6
L’Alsacienne Blond Euro 2004 Portugal,1179,5.0,10
La Marchande Blonde,1179,7.0,6
Sainte-Anne,1179,6.5,6
Alsacienne du Gambrinus - L’Alsace de toujours,1179,8.0,7
Brunehaut Abbaye de Saint-Martin Cuvée de Noël,1179,8.5,19
Daas Blond,1179,6.5,6
L’Alsacienne Sans Culotte Storkanascht Nid de Cigognes,1179,9.0,19
Brunehaut Abbaye de Saint-Martin Blonde,1179,7.0,6
Brunehaut Terroir Biere Blanche,1179,5.0,8
L’Alsacienne Sans Culotte Halloween,1179,5.0,17
Belle de Pevele,1179,7.0,6
Brunehaut Original b,1179,5.0,8
Pays Blanc,1179,8.0,7
Brunehaut Blanche,1179,5.0,8
L’Alsacienne Sans Culotte,1179,5.0,10
L’Alsacienne Sans Culotte Pisse de Caribou,1179,6.9,6
Brunehaut de Noel,1179,8.0,19
L’Alsacienne du Gambrinus Houblonnière Peche Amour,1179,3.5,36
L ecume des Jours &#40;Belgium&#41;,1179,7.0,19
Brunehaut Abbaye de Saint-Martin Ambrée,1179,6.5,6
L’Alsacienne Sans Culotte  Rousse,1179,10.0,19
La Marchande Genevriers,1179,7.0,74
La Ramee Amber,1179,7.5,7
Ginette,1179,5.0,8
Mont Saint Aubert Grand Reserve,1179,8.5,19
Brunehaut Abbaye de St Amand,1179,7.0,7
Brunehaut Abbaye de Saint-Martin Triple,1179,9.0,7
Biere du Mont Saint Aubert,1179,8.0,19
Brunehaut Bio Blonde Gluten Free,1179,6.5,6
Brunehaut Villages Blonde,1179,6.5,6
Brunehaut Lumière d’Hiver,1179,8.0,19
Brunehaut Bio Ambrée Gluten Free,1179,6.5,6
Ribeaubière,1179,5.5,10
Ne Kopstoot,1179,7.0,6
L’Alsacienne Sans Culotte Blonde,1179,7.8,19
La Ramee Blond,1179,8.0,19
Brunehaut Tradition Ambrée,1179,6.5,6
Daas Witte,1179,5.0,8
L’Alsacienne Sans Culotte C’est Chou Croute,1179,5.0,20
Hakim Stout,1517,5.8,75
Harar,1517,4.25,10
Eichener Schwarzbier,1724,5.6,65
Eichener Landbier,1724,5.0,59
Eichener Pils,1724,4.8,57
Eichener Gold,1724,5.4,56
Eichener Dark Lager,1724,0.0,26
Schwind Bräu Pilsener,5671,4.8,57
Schwind Bräu Dunkles,5671,5.2,26
Schwind Bräu Festbock,5671,7.0,49
Schwind Bräu Export,5671,5.0,56
Schwind Bräu Dunkles Weißbier,5671,5.4,54
Schwind Bräu Josefator,5671,7.3,46
Schwind Bräu Helles Weißbier,5671,5.2,40
Schwind Bräu Rotgold,5671,5.1,31
Haberl-Bräu Export,2938,5.1,56
Haberl-Bräu Pils,2938,4.9,57
Haberl-Bräu Hell,2938,4.8,56
Haberl-Bräu Hansntrunk Märzen,2938,5.1,31
Haberl-Bräu Reichenstein Ur-Weisse,2938,4.9,40
Gem of the Sea Solomons Ale,2188,5.1,37
Gem of the Sea Lager,2188,0.0,33
Gem of the Sea Skinner Pilsner,2188,5.1,39
Winkler-Bräu Schlichter Pilsner,8488,4.8,2
Winkler-Bräu Schlichter Luder,8488,4.7,56
Winkler-Bräu Schlichter Ursprung Hell,8488,4.7,56
Winkler-Bräu Schlichter Radler,8488,2.6,36
Winkler-Bräu Dagesteiner Rittertrunk,8488,4.9,26
Winkler-Bräu Schlichter Hefe Weissbier,8488,4.9,40
Winkler-Bräu Schlichter Kupfer Gold,8488,4.9,26
Laupheimer Kronen Pils,9659,4.8,57
Laupheimer Kronen Wirts Dunkel,9659,4.8,26
Laupheimer Kronen-Radler,9659,2.6,36
Laupheimer Kronen Spezial,9659,5.0,56
Bodicote Golden Balls,3708,4.9,70
Bodicote Cherry Gosling,3708,4.5,16
Bodicote 3 Goslings,3708,4.0,16
Bodicote Life Sentence,3708,5.1,70
Bodicote Bitter,3708,3.3,16
Bodicote Porter,3708,4.7,15
Bodicote Triple X,3708,6.0,70
Bodicote No.9,3708,4.5,16
Bodicote Boilermaker,3708,4.2,16
Calvors Amber Lager,10103,4.0,10
Calvors Dark Lager,10103,4.5,26
Calvors Premium English Lager Beer,10103,5.2,39
Calvors 3Point8,10103,3.8,10
Mattingly Beehive Honey Ale,10126,0.0,42
Mattingly Wet HOPtimal APA,10126,4.5,27
Mattingly Hop Goddess Double IPA,10126,8.25,11
Mattingly Autumnal Blaze Strong Amber Witbier,10126,6.2,8
Mattingly HOPtimal Munition APA,10126,4.5,27
Mattingly Sour Cherry Stout Porter,10126,0.0,22
Mattingly Cranberry Witbier,10126,0.0,8
Mattingly Black Past Historical Porter,10126,8.0,15
Mattingly Biere From Mars,10126,7.0,25
Mattingly Black Dawn Coffee Porter,10126,0.0,15
Mattingly Per Aspera Pilsner,10126,4.4,39
Mattingly Cardinal Direction Abbey Dubbel,10126,7.0,24
Mattingly Hop Seeker American Strong Ale,10126,8.0,48
Mattingly Anniversary Ale I,10126,8.0,19
Mattingly Jefferson Brown,10126,6.2,5
Mattingly Black Sky Stout Porter,10126,6.0,15
Mattingly Pinball Blizzard Rye IPA,10126,0.0,1
Mattingly 1984 Golden Ale,10126,4.7,42
Mattingly Fresh Hop Blond,10126,0.0,20
